Key,Description
com.sports.europeancricket,Error fetching description
com.linkedin.android,"Welcome professionals! The key to getting in is getting started. Begin your career journey and build connections with LinkedIn today. Start your next job search with one of the largest social networking apps and grow your career. Join a trusted community of 1 billion members, and find the right job for you.

Apply for jobs, build your professional network, and highlight your skills. Set job alerts for local or remote roles, network with business contacts, and stay informed about the latest business news. 
Find your next job, and make one connection at a time. Get business insights before you apply for jobs, including company information and job responsibilities. Then quickly and safely apply for the perfect position through the LinkedIn app with your online CV or professional profile.

Why you’ll love the LinkedIn app:
• Job search and recruiting: Research companies you’re interested in and find job openings suited to your skills, then apply to positions with your LinkedIn profile or resume.
• Online CV: Create your resume and showcase your experience and professional skills to enhance your career opportunities.
• Business news: Get relevant updates and business insights delivered to you and join the conversation.
• Professional network: Make connections with your LinkedIn profile and grow your business contacts.

LinkedIn App Features:

JOB SEARCH
• Find jobs and professional connections through LinkedIn’s social network app.
• Search for job openings and set up job alerts for companies that are currently hiring in your area of interest
• Find your dream position: Submit job applications across a wide range of professions and secure interviews for your dream job.
• Remote roles or local jobs in your area.
• Job Search App: Easily apply for jobs and set up job alerts for any part-time or full-time jobs you might be interested in.

BUSINESS NEWS AND INSIGHTS
• Find company content and business news to stay up to date.
• See what your connections and the entire business community are saying in posts and conversations.
• Share articles and newsworthy topics with your business contacts and the LinkedIn community.

SOCIAL NETWORKING
• Grow your connections with LinkedIn's profile-building tools to expand your social network.
• Join billions of professionals and get tips to help you grow your career..

BUILD YOUR BUSINESS COMMUNITY
• Build a community to help you grow your career. Easily find groups or communities that share your interests on LinkedIn.
• Business Network: Connect with new business contacts and industry experts.
• Follow companies, top voices, and professionals.
• Social networking for businesses: Gain new opportunities through showcasing your company or product.

RESUME BUILDER AND PROFESSIONAL PROFILE
• Job openings: Apply for jobs using your LinkedIn profile.
• Social network: Build your professional network and make business connections.
• Resume: Create your own online CV and use it as a resume for job applications.

Find the perfect workplace for you and build connections on LinkedIn. Whether you're seeking a new position, aiming to expand your business network, or staying updated on the latest business news and industry buzz, LinkedIn has you covered.

Want to make the most of LinkedIn? Upgrade to a Premium subscription for exclusive tools.

We ask for a few permissions when you use this app. Here’s why: http://linkd.in/1l0S8Y

-

LinkedIn members have the option to verify their identity by securely uploading a government ID and/or taking a live selfie using certain trusted partners. For more information about the data collected by our trusted partners through this process and the periods for which it will be retained, see: https://www.linkedin.com/help/linkedin/answer/a1359065"
com.grofers.customerapp,"Blinkit (formerly Grofers), is India’s last minute app. Trusted by millions, it is your everyday online grocery shopping app that home-delivers 10,000+ daily groceries in just a blink. Buy milk products, fresh fruits & vegetables, daily grocery, kitchen, home & office items by shopping for them online on Blinkit. Enjoy easy and smooth app experience with quick delivery. ⏰

✅ Best price and quality fresh fruits & vegetables
✅ Milk, curd, bread, butter, eggs, cheese, paneer & other daily grocery
✅ Snacks, biscuits, chips, ice cream, chocolates
✅ Cold drinks, ice, bottle opener
✅ Atta, rice, dal, oil, masalas, noodles
✅ Personal care, detergent, cleaning supplies
✅ Diapers & baby care
✅ Pet food
✅ Bulbs, batteries, mobile chargers
✅ Emergency medicines, thermometer
✅ Kitchen tools like chopper, blender, grinder
✅ Puja needs
✅ Stationery
✅ Smart watches, LED lights, Headphones

💄 Beauty & skincare store
Makeup, luxury beauty brands & everyday skincare – now on Blinkit! Shop a huge range of authentic makeup, bath & body, hair care products, beauty accessories & much more!

🎧 Electronics store
Wireless or bluetooth earphones? Check. Smart watches? Yes. LED lights? Absolutely! Shop affordable and latest electronics online at best prices, only on Blinkit.

⚡ Safe and quick grocery delivery app
The average driving speed for Blinkit (formerly Grofers) delivery agents is 20kmph, since we have a grocery delivery store located every 2 km to instantly serve you.

💰 Many safe payment options
Do your grocery shopping online on Blinkit & pay safely and securely for your groceries with UPI, COD or cards / wallets / netbanking / buy now pay later. We accept Sodexo meal pass and Paytm food wallet too.

🔌 Authentic phone accessories
We don’t want you to wait for the most premium and authentic phone accessories out there – which is why you can get them in minutes on Blinkit.

🖨️ Printouts delivered in minutes
With Blinkit, you can get a printout of anything delivered in just minutes. With convenient options of both black & white and coloured prints, get all your documents sorted instantly!

🤑 Low prices, amazing offers
Blinkit (formerly Grofers) offers you big discounts and savings on daily grocery, bundles and bank offers. We give the best prices on online groceries with our monthly House Full Sale!

📍 Live order tracking & helpful customer support
Track your grocery order online, right from your payment being confirmed to the delivery of your groceries. In case you need help, simply tap & chat with our customer support executives who are always ready to assist you.

✔️ Delivering groceries in 20+ cities
Instantly do your grocery shopping online! Get delivery of milk, vegetables, bread, snacks & more on the Blinkit app in Ahmedabad, Bengaluru, Chandigarh, Chennai, Delhi, Faridabad, Gurgaon, Hyderabad, Jaipur, Jalandhar, Kanpur, Kolkata, Lucknow, Ludhiana, Meerut, Mohali, Mumbai, Panchkula, Pune, Noida, Ghaziabad, Vadodara & Zirakpur.

😮 Huge variety of local & international brands
Blinkit (formerly Grofers) grocery delivery app has a huge variety of shopping brands available online, including local specialities. In fact, Blinkit has brands you won’t find anywhere else. You can get delivery of daily grocery, festival special products, and even gourmet and international foods! Get the latest products from leading brands like boAt, The Wishing Chair, Ekam, MasterChow, The Body Shop, Farmley, Engage, The Whole Truth, The Moms Co, SuperBottoms, Tropicana, Nestle, Coca Cola, Lay’s, Harvest, Ferrero, Toblerone, Oreo, Nutella, Starbucks, Clinique, Kama Ayurveda, L'Occitane, Innisfree, Davidoff, Rage Coffee, Lindt, Starbucks, Blue Tokai, Sleepy Owl, Wingreens Farms, Bagrry's, Gunsberg, Jade Forest, Jimmy's Cocktails, Eveready, Nivea, Garnier, Lakmé, Haldiram's, Bikano, Heinz, Vahdam, Dettol, Cadbury, ITC, Colgate Palmolive, PepsiCo, Durex, Licious, Aashirvaad, Saffola, Patanjali, Fortune, 24 Mantra, TGL Co., Nestle, Amul, Dabur, & many more."
com.myntra.android,"Download & shop online for fashionable clothing trends on the Myntra fashion app. Our online app covers everything from fashionable clothes, beauty & skincare to trending home products. Myntra is your one-stop lifestyle online shop. Explore the large variety of beauty, personal care & fashion products.

<b>Myntra Online Fashion Shopping App</b>
Trying to find a trendy online fashion app? Myntra offers the best online beauty products & online shopping. Start window shopping now!
🛍️Exclusive Deals - shop online with Myntra to receive the best offers & prices on quality clothing & beauty products.
🛍️Extra discounts & Free Shipping on your 1st purchase. Earn on every purchase!
🛍️Easy Tracking - Track, exchange, or return your order easily 
🛍️Convenient Shopping - Lifestyle online shopping app all from your mobile! Buy clothes & more - find everything you need in 1 online shopping app.
🛍️Myntra App Studio - Shop clothes directly from your feed or influencers for the latest fashion trends.

<b>Myntra Online Shopping App Features:</b>
- 100% original products - Our main product range include: clothes, Shoes, Beauty & Skincare, Accessories and Home/Lifestyle products
- Hassle-free 14 day exchange & returns
- Express order delivery (for select pin codes)
- Pay UPI/cash delivery
- Easily track your online shopping order
- Enjoy shopping lifestyle benefits using Myntra’s Insider Loyalty Program to access our latest offers & discounts on branded clothes
- Secure payment & EMI options - making it easy to buy clothes online!
- Great sign-up benefits. - Free Shipping on your 1st online shop order
- Gift Cards. Shop online with Myntra’s gift services

<b>Myntra online shopping Insider Customer Loyalty Program:</b>
★ 10% off your bill value credited by Insider Points. Use them for future purchases on the our shopping app 
★ Access fashion trends, tips & MasterClass from celebrity stylists
★ Myntra app coupons & vouchers up to Rs 10,000
★ Early access to ALL major fashion sales
★ Save money & get exclusive discounts with our online shopping apps

<b>Myntra’s beauty appliances/beauty care & skincare products from many brands</b>
💄 Makeup - from lipsticks to eyeshadow. Shop brands like Lakme, Maybelline, M.A.C & Bobbi Brown using our beauty online shopping
🧴 Skincare - face masks & more incl. The Face Shop
💆🏻‍♀️ Haircare - shampoo, conditioner & hair masks incl. Loreal
🧼 Bath & Body - body scrubs & moisturizers incl. Mcaffiene

<b>Myntra’s online shop collections:</b> 
- Clothes - fashionable clothing, online salwar suit shopping & ladies suit design from Vera Moda, Nike, H&M, MANGO
- Accessories - shop online for handbags, purses, jewellery & more
- Shoes - trainers, boots, sandals & more
- Ethnic Wear & Traditional Partywear - online saree shopping, kurta, kurti online, skirts & scarves for all occasions from brands incl. Biba
- Jewellery - rings & necklaces, shop all on Myntra’s online shopping app
- Home & Lifestyle - home décor, kitchenware & bedding. Shop lifestyle online on the Myntra app 
- Cosmetics Shop Beauty - makeup, beauty, skincare & perfume 
- Gadgets - headphones, smartwatches & speakers 
- Sportswear - shop Nike, Adidas, Puma & more

<b>Benefits of using Myntra’s online fashion shopping app:</b>
Myntra’s online shopping app offers a large collection of Fashion & Lifestyle brands in India   
- 7 lakh+ products
- 3,500+ brands
- Experience the online shopping mall for many clothes & beauty branded shops 
- Shop the latest fashion & beauty trends from a range of trendy clothing brands 
- Shop makeup & skincare from trusted brands such as: Maybelline, Lakme, Kama Ayurveda, Biotique, The Body Shop, Skinn, Philips, Beardo, Forest Essentials & Innisfree
- Shop for kids clothing & shoes: Gini & Jony, Allen Solly Junior, Nauti Nati & U.S Polo Assn Kids

📝We’d love your feedback! Email at appfeedback@myntra.com
If you face any issues with the app, head here http://www.myntra.com/faqs#installUpdateQueries
Call Us +91-80-61561999"
co.tslc.cashe.android,"CASHe is an instant personal loan app for salaried professionals, where you can avail instant personal loans starting from ₹1,000 to ₹4,00,000 and receive the money in your bank account instantly. With CASHe, applying for an instant loan is now an easy and hassle-free experience. So, download the CASHe personal loan app now.
Features of CASHe – Personal Loan App:
✔️ Quick personal loans ranging from ₹1,000 - ₹4,00,000 
✔️ No guarantors/collaterals
✔️ 100% paperless instant loan application
✔️ Flexible repayment period
✔️ 0 foreclosure charges
✔️ Enjoy online shopping at no cost EMI*
✔️ Instant disbursal of the instant loan amount to your bank account
✔️ Repay the loan through various payment methods

CASHe Products
💰 Instant Personal Loan
Get an instant personal loan from the CASHe easy loan app to take care of your needs! Choose from various types of quick personal loans like car loans, home renovation loans, education loans, marriage loans, etc. with a tenure ranging from 3 months to 1.5 years.
💸 CASHe Credit Line
Apply for a credit line on the CASHe app with minimal documentation and instant approval for a tenure of 1 year, and avail short-term loans for your emergency and shopping needs.
💵 Buy Now Pay Later with CASHe
Get 0%* interest instant online shopping loans on the CASHe app. You can avail these BNPL loans to make purchases on leading online platforms and repay them later with easy EMIs.

Personal Loan Eligibility:
✔ ️ Salaried professional above 21 years of age.
✔️ Minimum net monthly salary => ₹15,000.
✔️ Salary must be credited through direct bank transfer only.

How to Apply For a Personal Loan Online on CASHe?
➡️ Download and log in to the CASHe app.
➡️ Register using your social media account.
➡️ Enter all the necessary personal details to check your online personal loan eligibility.
➡️ Submit the KYC documents and apply for an instant personal loan.
➡️ Your loan amount will be transferred directly to your bank account post approval.

Documents required to apply for a loan:
✅ PAN Card
✅ Identity proof
✅ Address proof (Driving Licence/Voter ID/Passport/Aadhaar Card/Utility Bills)
✅ 3-month bank statements showing salary credit
✅ Selfie

Interest, tenures, and other specifications
➡️ Minimum Annual Percentage Rate (APR) – 30.42%
➡️ Maximum Annual Percentage Rate (APR) – 47.76%
➡️ Repayment Tenure: 3 months to 18 months
➡️ Processing fee: 
CASHe 540 - 3% or 1000, whichever is higher
CASHe 180, CASHe 270, CASHe 1 year - 2% or 1200, whichever is higher
CASHe 90 - 1.5% or 500, whichever is higher

What makes CASHe ideal for every customer?
✅ Easy online personal loans
✅ Low instant loan interest rates
✅ Hassle-free loan application process
✅ Quick approvals and instant loan disbursal
✅ Flexible repayment terms

Sample Loan Calculation
Loan amount: ₹30,000 at fixed interest rate of 30.42% p.a.(equivalent reducing interest rate of 44.52%)
Loan duration: 3 Months
Total personal loan interest = ₹2,250
Processing fees (PF) + GST = ₹750 + ₹300 + ₹300 + ₹150 + ₹150 + ₹297 = ₹1947
Total deductibles (PF + GST): ₹590
In-hand amount (Loan amount - Total deductibles) = ₹30,000 - ₹590 = ₹28,053
Total repayable amount (Loan amount + interest): ₹32,250
Monthly EMI repayable (Loan amount + interest / No of EMI’s): ₹10,750
(Note: PF and GST are deducted upfront during the loan disbursal.)

Partner NBFCs/Banks
➡️ Bhanix Finance and Investment Ltd.
➡️ Vivriti Capital Private Ltd.
➡️ Northern Arc Capital Ltd.

🔒 Data Security via Secure Loan Application
CASHe is committed to promoting best practices in digital lending and adheres to RBI’s Fair Practice Code. All CASHe transactions are secured via 128-bit SSL encryption.
Download the CASHe personal loan app now and experience a new way of borrowing!
अपनी ज़रूरतों को पूरा करने के लिए CASHe इंस्टेंट पर्सनल लोन के लिए आवेदन करें। पर्सनल लोन के लिए आवेदन करने से पहले अपनी पर्सनल लोन पात्रता और डॉक्यूमेंट की जांच करें।
📧 Contact Us:
Reach out to us at support@cashe.co.in."
com.rapido.passenger,"Tired of the daily traffic and reaching late?
Try Rapido (रैपिडो), India’s first and largest Bike-Taxi Service. Our bike rides help you cut through traffic, reach on time, and save money. We also have autos and cabs for you. With Rapido, you get a low-price, comfortable and quick auto, bike and cab ride every single time. That’s #RapidoKaVaada!

With presence in 150+ cities and over 100 million safe rides completed, Rapido is changing how India travels by offering quick and low-price auto, bike and cab rides. The app has over 10 million happy customers who prefer Rapido Autos, Bike and Cab rides for intra-city and last-mile commute. We have a fleet of over 1 million Captains (Bike-Taxi riders, Auto and Cab drivers), with rides available in Metros, Tier-1, Tier-2, and Tier-3 cities, soon launching in other parts of the country too. Since its inception, Rapido has stood by its promise of giving low-price, comfortable and quick auto, bike and cab rides to all its users.

Whether it’s a hectic Monday morning or a relaxed weekend outing, Rapido offers affordable and quick auto, bike, and cab rides. Even during peak traffic, Rapido’s seamless doorstep pick-ups ensure that you reach your destination quick and easy. Apart from being low-priced, you also get exciting offers on auto, bike, and cab rides on Rapido. So, the next time you’re stepping out, get a quick bike ride with Rapido and leave the traffic behind. If a couple of you are stepping out, book a comfortable and affordable Rapido auto or a Rapido cab with guaranteed lowest prices! Forget meter, enjoy every kilometer!

No more waiting and adjusting to shared rides and crowded buses! Whether you’re going to or from the metro, choose a Rapido auto or bike ride to travel comfortably and quick. 

Download the Rapido App and get 50% OFF* on your first Auto, Bike or Cab ride.

We prioritise your safety!
Every Rapido auto, bike or cab ride is insured with Acko Insurance without any extra cost. We ensure our captains abide by all traffic rules during an auto, a bike or a cab ride. Our Bike-Taxis also prioritise every pillion rider’s safety by providing a helmet for each bike ride. Rapido offers you an affordable, quick, and comfortable auto, bike or cab ride by taking care of all the safety concerns.

Easy to Use Rapido App
The Rapido app offers a simplified approach to booking an auto, a bike or a cab ride. Now, you don’t have to worry about remembering a different OTP for every single ride. You get a unique PIN that remains the same every time you book an auto, a bike or a cab ride!

Vernacular app – Available in English, Hindi, Tamil, Telugu, and Kannada.
One-click login – Seamless registration and onboarding.
Favourites – Save frequently visited locations for easier access.
Live tracking – Follow the real-time location of the ride.

Cashless and Safe Payment Methods
Whether you’re taking an auto, a bike ride or a cab ride, Rapido encourages you to go digital. It provides cashless payment options such as PayTM, UPI, and Rapido Wallet.

Rapido App is available on both Android and iOS platforms.
Got more queries? Get them all answered! Follow us on our social media platforms and stay updated.
Facebook: https://www.facebook.com/rapido4bike/
Instagram: https://www.instagram.com/rapidoapp/
Twitter: https://twitter.com/rapidobikeapp
LinkedIn: https://in.linkedin.com/company/rapido-bike
YouTube: https://www.youtube.com/channel/UCDrFiyq8m0rLr8SgXiXLqgw"
com.fedmobile,"This revamped version of FedMobile– Federal Bank’s highly popular mobile banking application - comes with more user-friendly and advanced features than its predecessor, ensuring a richer and more pleasant experience for its users. We have combined Mobile Banking, FedBook and BHIM UPI into a single application plus a whole host of new features and services to make it a one stop shop for all your banking needs. 

Enriched with new banking and payment features, this version of the app is a complete package, which enables users to access and manage their accounts from anywhere, anytime; it enables the user to undertake – banking as well as non-banking transactions. 

Specific features include  

Recharge & Bill Payments: Our recharge and bill payment sections allow you to do mobile/DTH/Fastag recharges and payment of a wide variety of bills including Mobile, Electricity, Water, Gas etc. 

Transfer funds online: Make payments and funds transfers online real-time, using payments methods like UPI, IMPS, NEFT, RTGS etc. 

BHIM UPI: We have integrated all the UPI functionalities into the app so that allows you to enjoy the full bouquet of UPI services using this app. 

FedBook: Bank’s digital passbook app is now available as an exclusive feature in FedMobile. This allows you to access all your accounts and statements without having to download FedBook separately.   

Investments:  Using the app, you can now invest in Mutual Funds, Gold and Bank’s various deposit schemes. The “Help Me decide” feature in the app will guide you to the most suitable investment option among all the options.  

Loans: A full-fledged loans module allows you to manage all your loan accounts, repay loan instalments, apply for loans, and avail loans instantly.  

Account Services: The account services menu in the side bar allows you manage features linked to your account like Transaction limits, PIN, VPA, Biometric Login, Profile, Email IDs, Nominee details, ON/OFF/Block/Unblock debit cards etc.  

Service Requests: You can make an array of service requests like Cheque Book, submission of 15G/H, Download TDS certificates,  

Merchant Services: Our new merchant services section allows you to make Cab, Bus, Flights and Hotel Bookings. 

Help and Support: The unique help and support module in the account services menu helps you get clarifications and raise tickets for all the services available throughout the app.  

 

To experience the ease and convenience of a truly world-class mobile banking app, download the FedMobile now. 

  

Our developers are still fine tuning the app to help you see your accounts listed in the payments page faster and complete UPI, send money/scan and pay transactions quicker. 

 

Terms and conditions: https://federalbank.co.in/tandc  

  

For any queries related to FedMobile, please write to us at contact@federalbank.co.in or call us at 1800-425-1199/1800-420-1199(National Toll Free Number) or +91-484-2630995/2630995(for NRI customers)"
com.reglobe.cashify,"Looking to upgrade to better tech? Join over 10 million smart customers by making the smart choice of upgrading through Cashify — India's most-trusted destination where you can sell old phone as well as buy refurbished mobile phones from all leading brands.

Upgrade Smartly With Cashify
Sell Old Mobile Phone: 
You can sell old phones to Cashify and get the best price for it. Just go to the app, select the device you want to sell and share details about its current condition. Cashify’s intuitive AI-based calculator will then take care of the rest by calculating the best price of your device. After this, you can book a free pickup. As soon as the device is picked up, you get instant payment. So, what are you waiting for sell old mobile phone now.

Buy Mint-Condition Refurbished Phone
Want to brag about how smartly you got the best deal on your favorite phone? Visit Cashify and buy refurbished mobile phones that feel & look no less than new. Cashify’s refurbished devices offer the same top-notch quality at nearly half the price. 
They’re put through rigorous 32-point quality checks and are backed with:
6 months warranty
15 days replacement
Free & immediate assistance at 190+ Service Centers pan India

Why Buy Refurbished Mobile Phone?
It’s not a tecky question to answer, but if you want to buy refurbished mobile phone it is perhaps the wisest option to upgrade to better tech without burning a hole in the pocket or the planet. Refurbished phones are just like new phones but at almost half price. Refurbished mobile phones are backed with a 6-month warranty from Cashify. Unlike second-hand phones bought from friends, family, and some buy-sell websites, refurbished phones are pre-owned phones that are inspected and expertly restored to like-new condition. 

How does Cashify refurbish?
Sourcing: Cashify sources preloved phones from their owners
Inspecting: All phones are put through 32-point quality checks
Grading: The phones are allotted grades as per Cashify’s transparent grading system that takes into account the visible signs of usage on the phone. Every device is guaranteed to be 100% functional regardless of the grade: Superb, Good, or Fair.
Repackaging: Next up, the phones are repackaged with a compatible charger.
Ready to ship: The preloved phone is now ready for you.

Why Choose Cashify?
Because we have everything to fulfill your phone needs!
Chance to upgrade to your dream phone at almost half price
6 months warranty on refurbished phones
Best price for old mobile phones
190+ service centers
100% data safety
Hassle-free, doorstep service
Exciting offers EVERY MONTH (why wait for sale season!)
Easy, instant, paper-less finance options like No Cost EMI

Discover More With Cashify
Sell old mobile phone, and other devices from your doorstep, including your phones, laptops, smartwatches, play stations & more.
Buy top-quality refurbished mobile phones at affordable prices
Get the coolest smartphone accessories you can find
Earn when you help a friend sell their phone to Cashify. Just share your referral code with them
Look out for exciting partner offers with top brands like Apple, Samsung, Vivo & more

All these just with a tap of your finger with our smooth, innovative & user-friendly platform. Cashify's expansive network covers over 1500 cities, including all major cities."
com.gov.ssc,"The Photo for the Exam and be uploaded in the following ways:
1. The website  ssc.gov.in on your laptop/pc.
2. Using the app mySSC.
3. Opening the website in your mobile browser.

Staff Selection Commission (SSC) is an organisation under Government of India to recruit staff for various posts in the various ministries and departments of the government of India and in subordinate offices.

This commission is an attached office of the Department of Personnel and Training (DoPT) which consists of chairman, two members and a secretary-cum-controller of examinations."
com.bayviewtechnology.dafabet.prod,Error fetching description
in.swiggy.android,"Welcome to Swiggy; your one-stop shop for online food ordering, groceries, dining, pickup & delivery! 😍

Here’s why India LOVES the Swiggy app 👇
- Order food, get instant grocery delivery, and other essential services online
- Swiggy One users get unlimited Free Delivery on all their orders
- Find top local restaurants and stores in your city
- Order Groceries in 10 Mins
- Get amazing discounts by paying your dining out bills via Swiggy Dineout
- Pick up & Drop anything instantly, anywhere within your city
- Restaurant & Delivery Partners trained in hygiene protocols
- 30+ cuisines to choose from!
- Late-night delivery services | 6 AM - 3 AM*
- Enjoy long distance deliveries from your favourite restaurants 

🥙 Food Delivery: Order Delicious Cuisines With A Tap 🥙

Unlock Up To 60% Off + Free Delivery every time your order with Pocket Hero’s picks
That’s not all! There’s No Minimum Order conditions so you can order even a single item on Swiggy


- Order Biryani, Pizza, Masala Dosa, Burgers, Lassi, Coffee, Gulab Jamun, & more.
- Explore our endless range of cuisines like North Indian, Chinese, South Indian, Thai, Vietnamese, American, Healthy, Street Food, Breakfast, Late Night Cravings, & more.
- Get North Indian dishes, Punjabi cuisine, South Indian cuisine, Thai cuisine, Bengali cuisine & more as well as top chains like Dominos, KFC, Burger King, Pizza Hut, FreshMenu, McDonald’s, Subway, Faasos, Starbucks, Taco Bell & more.
- Find favourite local restaurants, breakfast places, brunch spots, cafes & bars

🛒 INSTAMART- Instant Grocery Delivery 🛒

Swiggy Instamart is an instant grocery delivery service powered by Swiggy, delivering groceries to your doorstep within 10 Minutes. Just place an order & we’ll take care of your grocery runs, emergency supplies, midnight cravings, cake deliveries & more. 
From snacks and beverages to fruits, vegetables, ice cream delivery, dairy, cooking to cleaning essentials, personal care to baby care - you can fulfil all your grocery needs on Swiggy Instamart.

- Open from 6 AM-3 AM* for all your Grocery Essentials
- Grab 7000+ products from popular to new-age brands
*Opening & closing time might vary across cities, owing to Govt. regulations.



🍽️  DINEOUT- Deals On Dining Out At Top Restaurants 🍽️
Book a table at your favourite restaurant with Swiggy Dineout! Choose from top places near you & save big at all your favourite live music restaurants, pubs, night clubs, breweries, cafes, vegan restaurants, vegetarian restaurants, chinese food restaurants & more.

- Use Swiggy Dineout to get Up To 50% FLAT discounts with no upper limit on your dining out bills, at 18000+ restaurants across 34 cities. 
- Get an additional 15% discount on your bills with HDFC Bank Credit Cards. 


🪄 SWIGGY GENIE- Get Anything Delivered ( Coming Soon To All Cities) 🪄

Now Pick up or Deliver anything in your city with Swiggy Genie. 

- Send documents, packages & food items 
- Pick up something you’ve forgotten 
- Get medicines delivered from pharmacies 

That’s not all! Here’s that something extra that sets us apart from the competition 👊

⚡ LIGHTNING-FAST DELIVERIES ⚡
Our system is designed to confirm, prepare, and deliver your order in the best time possible.

🤳 LIVE ORDER TRACKING 🤳
Get real-time updates on your order status and an ETA. Also, track your Delivery Partner’s location on a map from the restaurant to your doorstep.

💰 SWIGGY ONLY OFFERS & DISCOUNTS 💰
Get freebies, cashbacks, discounts, and other deals sponsored by us, and our host of restaurants, banks, and online wallet partners.

 🪪 Payments & Tipping Made Easy 🪪
- We accept VISA/MasterCard Credit or Debit Cards, Net Banking, PayTM, FreeCharge, MobiKwik wallet, Sodexo Meal Cards, cash on delivery & credit services like LazyPay. 
- You can also add a tip for your Delivery Partner with your order."
com.mrnumber.blocker,"Mr. Number makes it easy to block unwanted calls as well as identify & stop spam, scam and fraud.

- Put names to numbers when dialing out
- Block calls from one person, area code or an entire country
- Stop telemarketers and debt collectors before they waste your time
- Intercept calls from private/unknown numbers and send to voicemail
- Report spam calls to warn other users
- Automatic caller lookup for recent calls in your phone's history so you'll know who to block

*** PCMag 100 Best Android Apps ***
*** New York Times: ""Mr. Number is one of the most popular"" ***
*** Appy Award - Best Communications App ***

Mr. Number is the most powerful call blocker on the market. Block calls from people, businesses, and hidden numbers. Browse comments from other users when you get a spam call. Automatically block potential fraud and suspected spam calls."
com.livinghopeinljc.seeyonugeetamulu,"Zion Songs Telugu (సీయోను గీతములు) app to listen, sing, search, bookmark and refer at all times.
Main Features:
1) Elegant design with a welcome page reminding a new bible verse to ponder and mediate.
2) Absolutely free and no advertisements.
3) Topical and Alpha Index to find songs. Swipe LEFT for next song and swipe RIGHT for previous song.
4) Search by song number or Telugu word (example యేసు) in English (example yesu). Search gives results as you type. Scroll through songs to find yours. Minimum two characters needed (example 22 or ye).
5) Bookmark your favorite songs to refer later.
6) App automatically keeps the history of songs last reviewed.
7) Internet connection needed to download songs. After downloading, listen songs with no internet connection.
8) App works with any android device (phone, tablet etc) with android version 4.1 and above.
9) Day/Night Option to switch between white/black backgrounds. Black background helps to save battery life.
10) Want to read to Bible Theme Verse or Chapter of each Song? Just touch the bible verse at the top of each song. You have to install 'Telugu Bible' first time. Later come back and touch bible verse(s) of each song. You will be taken to Telugu Bible book, chapter and verse. Example for Song 1, touching the top bible verse takes you to Psalm 1. Back button takes to Song 1. Please always update 'Telugu Bible' app to the latest version. 
11) Excellent for personal or family worship or prayer time. Claim promises in your daily life. 
12) Excellent companion when you are travelling. Listen, mediate, pray, read song lyrics and bible.
13) Do not fear to try to sing songs that you do not know. Remember God sees your heart more than your singing talent. God is the giver of all talent.
14) నేను పాడుచు స్తుతిగానము చేసెదను. నా ఆత్మ పాడుచు గానముచేయును. స్వరమండలమా, సితారా మేలుకొనుడి. Take up your musical instruments and sing. Does not matter if you are alone or in a group. Lord Jesus is worthy of all praise, honor, and glory.
15) Learn song tunes and help others to sing songs. Learn together with musical instruments.
16) Share with others who may want to learn songs.
17) Please always update app to the latest version.
18) God willing we will continue to add more songs. Please be patient. Please do pray for us.
19) English hymns are added with Telugu translation.
20) Thank you for downloading our app. It has been a privilege to publish these lasting songs, the TRUTH, and the God's Word. May the LORD alone be glorified.
21) Our prayer is that these ageless songs filled with the Living Word of God would change your life day by day to conform to the image of LORD JESUS CHRIST.
22) Let us crown HIM (LORD JESUS CHRIST) with many crowns. రాజాధి రాజు యేసు ప్రభుపై కిరీటముంచుదము రండి."
cn.wps.moffice_eng],Error fetching description
